event_id,customer_id,event_type,event_date,value
1,124,purchase,2024-11-06,122.17
2,855,email_open,2024-11-18,82.9
3,975,page_view,2024-12-02,0.0
4,798,purchase,2024-10-09,0.0
5,743,email_click,2024-10-26,0.0
6,377,add_to_cart,2024-10-01,0.0
7,776,add_to_cart,2024-09-18,117.55
8,58,email_open,2024-11-16,4.03
9,224,purchase,2024-10-04,147.91
10,890,add_to_cart,2024-10-17,0.0
11,160,page_view,2024-09-18,182.11
12,487,page_view,2024-10-09,41.01
13,452,add_to_cart,2024-11-06,47.58
14,654,page_view,2024-11-25,72.38
15,170,purchase,2024-09-25,0.0
16,244,email_click,2024-11-15,0.0
17,106,email_click,2024-09-25,5.69
18,565,purchase,2024-12-02,0.0
19,860,purchase,2024-10-18,0.0
20,311,email_click,2024-10-18,0.0
21,405,purchase,2024-11-18,0.0
22,208,page_view,2024-10-18,121.27
23,177,email_click,2024-09-30,18.91
24,189,email_open,2024-11-28,41.58
25,138,email_click,2024-10-05,0.0
26,607,email_click,2024-10-19,197.8
27,820,email_open,2024-11-08,0.0
28,104,purchase,2024-11-22,38.68
29,425,purchase,2024-09-13,0.0
30,260,email_click,2024-10-30,0.0
31,848,email_click,2024-10-19,129.91
32,324,add_to_cart,2024-11-14,144.54
33,223,purchase,2024-10-25,57.08
34,80,page_view,2024-11-16,0.0
35,933,email_open,2024-09-27,71.21
36,982,purchase,2024-12-01,0.0
37,527,email_open,2024-10-26,192.25
38,964,page_view,2024-12-11,174.64
39,671,add_to_cart,2024-09-20,161.59
40,670,email_click,2024-09-22,175.44
41,386,add_to_cart,2024-10-26,0.0
42,916,purchase,2024-10-13,0.0
43,783,email_open,2024-10-30,0.0
44,114,purchase,2024-11-28,131.91
45,872,email_open,2024-10-29,129.12
46,357,add_to_cart,2024-11-03,66.52
47,295,email_open,2024-10-20,97.77
48,522,email_click,2024-12-02,0.0
49,416,page_view,2024-11-23,0.0
50,557,add_to_cart,2024-09-19,56.8
51,560,add_to_cart,2024-11-21,4.78
52,225,email_click,2024-12-09,124.39
53,813,page_view,2024-10-12,0.0
54,299,add_to_cart,2024-11-08,0.0
55,370,page_view,2024-11-03,173.11
56,352,email_click,2024-10-22,0.0
57,202,purchase,2024-10-24,91.52
58,882,add_to_cart,2024-11-23,147.21
59,766,purchase,2024-11-11,0.0
60,391,email_open,2024-09-16,0.0
61,933,email_click,2024-10-19,0.0
62,947,page_view,2024-10-24,104.49
63,145,purchase,2024-11-27,71.7
64,714,add_to_cart,2024-10-09,0.0
65,637,email_click,2024-10-07,0.0
66,517,email_open,2024-10-23,0.0
67,210,add_to_cart,2024-09-24,0.0
68,777,page_view,2024-10-29,0.0
69,635,email_open,2024-11-06,172.99
70,39,email_click,2024-11-23,22.69
71,358,email_open,2024-11-18,141.64
72,630,purchase,2024-11-06,123.55
73,18,email_open,2024-10-25,0.0
74,152,add_to_cart,2024-10-16,79.24
75,671,email_click,2024-12-11,79.07
76,626,email_click,2024-10-13,0.0
77,484,page_view,2024-09-18,0.0
78,85,purchase,2024-09-30,0.0
79,333,email_open,2024-12-05,1.02
80,150,add_to_cart,2024-12-04,16.7
81,968,page_view,2024-12-01,193.22
82,82,add_to_cart,2024-10-15,0.0
83,720,email_click,2024-12-02,0.0
84,540,email_open,2024-11-20,114.16
85,347,email_open,2024-09-25,79.01
86,254,email_open,2024-11-14,0.0
87,506,email_open,2024-10-30,0.0
88,183,email_click,2024-09-22,174.63
89,666,email_click,2024-10-15,163.33
90,494,page_view,2024-12-05,0.0
91,774,email_click,2024-09-26,0.0
92,600,email_open,2024-10-02,0.0
93,980,purchase,2024-10-02,121.22
94,193,purchase,2024-09-15,0.0
95,697,purchase,2024-10-03,63.37
96,238,page_view,2024-11-02,0.0
97,420,purchase,2024-10-19,0.0
98,96,page_view,2024-12-06,0.0
99,728,email_click,2024-09-23,38.7
100,911,purchase,2024-10-03,0.0
101,232,email_click,2024-12-10,130.91
102,861,add_to_cart,2024-10-06,41.21
103,892,email_open,2024-09-14,109.66
104,19,email_click,2024-12-09,0.0
105,809,email_open,2024-10-24,0.0
106,871,add_to_cart,2024-11-02,0.0
107,451,add_to_cart,2024-09-15,0.0
108,387,page_view,2024-10-05,0.0
109,134,page_view,2024-10-30,0.0
110,937,purchase,2024-12-06,0.0
111,308,page_view,2024-10-09,16.32
112,789,purchase,2024-10-19,183.19
113,423,email_open,2024-11-11,133.59
114,747,email_click,2024-11-06,0.0
115,885,email_click,2024-10-05,0.0
116,510,purchase,2024-09-27,0.0
117,185,add_to_cart,2024-10-12,105.66
118,3,page_view,2024-09-30,0.0
119,559,page_view,2024-10-21,0.0
120,355,email_open,2024-11-29,173.45
121,806,add_to_cart,2024-09-27,0.0
122,981,email_click,2024-10-28,100.52
123,829,email_open,2024-12-09,88.63
124,264,page_view,2024-12-08,0.0
125,47,email_open,2024-11-15,0.0
126,582,purchase,2024-09-19,93.69
127,112,page_view,2024-11-24,183.97
128,728,email_open,2024-10-05,133.49
129,608,email_click,2024-11-13,0.0
130,135,email_click,2024-10-13,0.0
131,722,email_open,2024-11-20,81.37
132,209,add_to_cart,2024-10-21,193.75
133,46,email_open,2024-11-25,0.0
134,250,add_to_cart,2024-10-19,80.88
135,227,page_view,2024-11-23,140.99
136,794,add_to_cart,2024-09-14,126.33
137,422,email_click,2024-12-03,75.89
138,214,purchase,2024-11-15,175.36
139,266,purchase,2024-11-28,42.06
140,990,purchase,2024-10-10,38.51
141,348,page_view,2024-11-07,134.9
142,635,email_click,2024-12-02,0.0
143,732,email_click,2024-11-24,87.96
144,314,email_click,2024-10-26,134.93
145,499,email_open,2024-09-27,0.0
146,182,page_view,2024-11-10,0.0
147,490,email_open,2024-09-28,0.0
148,527,add_to_cart,2024-09-27,0.0
149,180,email_click,2024-10-18,0.0
150,793,add_to_cart,2024-10-23,92.88
151,418,page_view,2024-11-12,175.82
152,805,add_to_cart,2024-11-18,0.0
153,807,email_click,2024-11-20,0.0
154,52,email_click,2024-09-19,94.8
155,366,email_open,2024-11-02,0.0
156,702,add_to_cart,2024-11-21,0.0
157,145,email_click,2024-10-12,0.0
158,214,email_click,2024-10-28,0.0
159,133,email_click,2024-09-26,0.0
160,704,email_click,2024-11-15,0.0
161,286,email_open,2024-11-17,0.0
162,330,purchase,2024-11-14,0.0
163,626,email_click,2024-10-16,87.53
