customer_id,loyalty_points,tier,points_earned_ytd,points_redeemed_ytd,last_reward_date,tier_benefits,remaining_points
1,7053,Bronze,2928,2952,,"['Basic Support', 'Birthday Reward']",7029
2,3365,Gold,3970,1407,2024-09-20,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5928
3,3861,Gold,2037,1878,2024-11-24,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4020
4,786,Gold,387,1557,2024-09-28,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-384
5,1873,Silver,3603,784,2024-09-17,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4692
6,9852,Bronze,2456,1699,2024-11-12,"['Basic Support', 'Birthday Reward']",10609
7,9634,Platinum,2742,2984,2024-10-23,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",9392
8,1939,Bronze,4801,782,2024-11-19,"['Basic Support', 'Birthday Reward']",5958
9,676,Bronze,1070,1952,2024-11-29,"['Basic Support', 'Birthday Reward']",-206
10,1542,Silver,4622,351,2024-09-13,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5813
11,2469,Platinum,724,2725,2024-11-03,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",468
12,1516,Silver,759,1895,2024-09-20,"['Priority Support', 'Free Shipping', 'Birthday Reward']",380
13,5716,Silver,2086,352,2024-10-11,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7450
14,9646,Platinum,3140,340,2024-11-04,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",12446
15,5454,Silver,741,1396,2024-12-04,"['Priority Support', 'Free Shipping', 'Birthday Reward']",4799
16,3361,Gold,4373,1215,2024-11-03,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",6519
17,5353,Platinum,692,17,2024-11-07,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6028
18,4926,Gold,3445,1250,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7121
19,9319,Platinum,106,552,2024-12-07,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",8873
20,8447,Gold,2840,1082,2024-10-12,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10205
21,7963,Silver,2686,1241,2024-09-22,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9408
22,8104,Platinum,4734,1838,2024-11-17,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",11000
23,420,Platinum,4822,839,2024-09-16,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4403
24,3575,Platinum,935,1702,2024-09-15,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",2808
25,6119,Gold,3618,2650,2024-12-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7087
26,619,Bronze,2680,1550,,"['Basic Support', 'Birthday Reward']",1749
27,5497,Silver,52,448,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",5101
28,3298,Bronze,3013,897,,"['Basic Support', 'Birthday Reward']",5414
29,5172,Bronze,1879,2403,2024-11-17,"['Basic Support', 'Birthday Reward']",4648
30,6542,Platinum,954,1918,2024-09-25,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",5578
31,4959,Gold,447,2444,2024-09-30,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",2962
32,8081,Bronze,664,2722,2024-12-04,"['Basic Support', 'Birthday Reward']",6023
33,2163,Gold,304,834,2024-10-30,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1633
34,9813,Bronze,678,523,,"['Basic Support', 'Birthday Reward']",9968
35,9382,Gold,3175,536,2024-10-01,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",12021
36,2946,Gold,4192,1724,2024-11-09,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",5414
37,516,Platinum,4457,1565,2024-09-24,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",3408
38,9293,Silver,676,2089,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7880
39,5226,Gold,2835,511,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",7550
40,1523,Gold,3053,566,2024-10-31,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",4010
41,8063,Bronze,3895,297,2024-09-24,"['Basic Support', 'Birthday Reward']",11661
42,9859,Silver,1128,1680,2024-11-11,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9307
43,7491,Platinum,1477,2887,2024-11-28,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",6081
44,7956,Silver,3643,2794,2024-09-28,"['Priority Support', 'Free Shipping', 'Birthday Reward']",8805
45,2468,Bronze,2721,1556,2024-09-15,"['Basic Support', 'Birthday Reward']",3633
46,4419,Bronze,2338,336,2024-11-30,"['Basic Support', 'Birthday Reward']",6421
47,6895,Silver,2342,2236,2024-11-16,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7001
48,869,Platinum,3604,2899,2024-11-05,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",1574
49,326,Gold,4896,1420,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",3802
50,9277,Gold,2711,1791,2024-11-19,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10197
51,4654,Bronze,2674,1543,,"['Basic Support', 'Birthday Reward']",5785
52,28,Gold,1798,197,2024-10-25,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",1629
53,6612,Silver,1627,1000,,"['Priority Support', 'Free Shipping', 'Birthday Reward']",7239
54,116,Gold,1953,2670,2024-11-10,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",-601
55,7552,Gold,3241,613,,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",10180
56,4584,Platinum,2636,2620,2024-11-27,"['Concierge Support', 'Free Shipping', 'Birthday Reward', 'Early Access', 'VIP Events']",4600
57,7966,Silver,3171,1293,2024-10-29,"['Priority Support', 'Free Shipping', 'Birthday Reward']",9844
58,4688,Silver,3613,2117,2024-10-04,"['Priority Support', 'Free Shipping', 'Birthday Reward']",6184
59,8385,Bronze,3365,802,,"['Basic Support', 'Birthday Reward']",10948
60,5977,Gold,3254,818,2024-09-19,"['Premium Support', 'Free Shipping', 'Birthday Reward', 'Early Access']",8413
