purchase_id,customer_id,purchase_date,product_category,payment_method,purchase_amount,items_quantity,discount_applied,discount_amount
1,423,2024-06-19,Beauty,PayPal,71.53,9,True,26.5
2,285,2024-11-20,Electronics,Credit Card,17.64,4,False,0.0
3,289,2024-09-09,Beauty,Credit Card,284.54,5,False,0.0
4,705,2024-11-16,Clothing,Gift Card,113.71,4,False,0.0
5,626,2024-07-05,Home & Garden,Credit Card,161.71,2,True,44.34
6,677,2024-10-05,Books,Gift Card,63.59,4,False,0.0
7,100,2024-10-04,Clothing,Gift Card,384.4,4,False,0.0
8,404,2024-12-12,Electronics,Credit Card,239.18,3,True,37.19
9,513,2024-09-16,Sports,Gift Card,485.73,3,False,0.0
10,568,2024-07-29,Sports,Gift Card,169.79,10,False,0.0
11,285,2024-07-01,Electronics,Credit Card,359.66,2,False,0.0
12,696,2024-10-11,Clothing,Gift Card,313.29,1,False,0.0
13,448,2024-06-22,Books,PayPal,149.61,2,False,0.0
14,265,2024-07-21,Electronics,Gift Card,437.59,1,False,0.0
15,329,2024-11-22,Home & Garden,Gift Card,30.16,1,True,2.22
16,46,2024-06-22,Clothing,Credit Card,391.24,1,False,0.0
17,631,2024-07-12,Books,Gift Card,394.65,7,False,0.0
18,606,2024-08-20,Clothing,Debit Card,199.99,6,True,14.24
19,451,2024-11-09,Sports,Debit Card,116.52,8,False,0.0
20,677,2024-09-22,Sports,PayPal,104.34,5,True,24.19
21,517,2024-06-17,Home & Garden,PayPal,339.96,9,True,3.23
22,851,2024-09-04,Beauty,Credit Card,31.15,1,False,0.0
23,179,2024-09-18,Clothing,Debit Card,464.77,1,True,34.49
24,23,2024-09-13,Beauty,PayPal,104.39,10,False,0.0
25,802,2024-09-02,Sports,Gift Card,442.88,8,False,0.0
26,30,2024-11-24,Electronics,Gift Card,279.41,4,True,16.04
27,147,2024-06-19,Books,Debit Card,46.08,4,False,0.0
28,473,2024-09-13,Home & Garden,PayPal,246.91,1,False,0.0
29,153,2024-07-03,Sports,PayPal,38.29,3,False,0.0
30,496,2024-09-19,Electronics,Credit Card,222.35,6,False,0.0
31,409,2024-08-26,Clothing,Gift Card,124.01,10,False,0.0
32,471,2024-10-25,Clothing,Credit Card,226.7,7,True,40.55
33,663,2024-11-28,Sports,Debit Card,278.05,2,False,0.0
34,680,2024-11-20,Beauty,Gift Card,88.59,9,True,18.62
35,112,2024-07-26,Sports,Debit Card,59.57,5,False,0.0
36,73,2024-10-23,Books,Debit Card,183.55,8,False,0.0
37,559,2024-07-23,Beauty,Gift Card,24.5,9,True,13.96
38,803,2024-07-20,Clothing,PayPal,490.05,10,True,28.97
39,466,2024-11-29,Home & Garden,Credit Card,57.35,9,True,27.7
40,346,2024-07-14,Clothing,Gift Card,58.19,5,False,0.0
41,569,2024-10-20,Clothing,Debit Card,181.0,1,False,0.0
42,445,2024-09-06,Electronics,Credit Card,277.3,2,False,0.0
43,110,2024-09-25,Clothing,Gift Card,476.55,1,True,38.02
44,593,2024-10-04,Clothing,Credit Card,462.75,9,True,32.54
45,419,2024-09-05,Beauty,Gift Card,350.73,5,False,0.0
46,814,2024-09-06,Sports,PayPal,137.37,4,True,6.23
47,286,2024-11-16,Electronics,Debit Card,230.78,4,False,0.0
48,483,2024-06-22,Electronics,Debit Card,165.45,8,False,0.0
